UML Type,UID Business Object,Business Object,UID Feature,Feature,Description,UID Data Type,Data Type,UID Owner,Owner Element,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12
Attribute,3ed6b887-2b44-ea11-8289-068ff87429a4,DeploymentConfiguration,41d6b887-2b44-ea11-8289-068ff87429a4,DeploymentInvolvement,"Party who plays the role in the deployment.
",Visibility=public,Multivalued=false,Mandatory=false,DefaultValue=,isDerived=false,isReadOnly=false,isType=,,MultiplicityElement.isOrdered=false,MultiplicityElement.isUnique=true,MultiplicityElement.Lower=1,MultiplicityElement.Upper=1,,,,
Class,80a41510-4da6-ea11-829f-063187a0cc58,RootCauseAnalysis,,,"An analysis used for identifying the root causes of faults or problems.
",Visibility=public,isSpecification=false,isRoot=false,isLeaf=false,,isActive=false,isAbstract=false,,,,,,,,,
Class,9c16ab8a-b4d0-e911-8296-0616e6ad87a8,ProductionIssue,,,A problem that occurred during the running of a system.,Visibility=public,isSpecification=false,isRoot=false,isLeaf=false,,isActive=false,isAbstract=false,,,,,,,,,
Attribute,9c16ab8a-b4d0-e911-8296-0616e6ad87a8,ProductionIssue,32f05a69-b5d0-e911-8296-0616e6ad87a8,ProductionIssueType,"The Type of production problem (error)
",Visibility=public,Multivalued=false,Mandatory=false,DefaultValue=,isDerived=false,isReadOnly=false,isType=,,MultiplicityElement.isOrdered=false,MultiplicityElement.isUnique=true,MultiplicityElement.Lower=1,MultiplicityElement.Upper=1,,,,
Attribute,9c16ab8a-b4d0-e911-8296-0616e6ad87a8,ProductionIssue,4608b89e-b5d0-e911-8296-0616e6ad87a8,ProductionIssueDescription,Description of the production problem,Visibility=public,Multivalued=false,Mandatory=false,DefaultValue=,isDerived=false,isReadOnly=false,isType=,,MultiplicityElement.isOrdered=false,MultiplicityElement.isUnique=true,MultiplicityElement.Lower=1,MultiplicityElement.Upper=1,,,,
Attribute,9c16ab8a-b4d0-e911-8296-0616e6ad87a8,ProductionIssue,7fdffc2e-b6d0-e911-8296-0616e6ad87a8,ProductionIssueDiagnosis,Evaluation of the production problem cause and impact assessment,Visibility=public,Multivalued=false,Mandatory=false,DefaultValue=,isDerived=false,isReadOnly=false,isType=,,MultiplicityElement.isOrdered=false,MultiplicityElement.isUnique=true,MultiplicityElement.Lower=1,MultiplicityElement.Upper=1,,,,
Attribute,9c16ab8a-b4d0-e911-8296-0616e6ad87a8,ProductionIssue,10f8d55e-b6d0-e911-8296-0616e6ad87a8,ProductionIssueResolutionTask,Description of corrective action proposed and taken,Visibility=public,Multivalued=false,Mandatory=false,DefaultValue=,isDerived=false,isReadOnly=false,isType=,,MultiplicityElement.isOrdered=false,MultiplicityElement.isUnique=true,MultiplicityElement.Lower=1,MultiplicityElement.Upper=1,,,,
Attribute,9c16ab8a-b4d0-e911-8296-0616e6ad87a8,ProductionIssue,2adc93a9-b6d0-e911-8296-0616e6ad87a8,ProductionIssueStatus,The state of resolution of a reported production problem,Visibility=public,Multivalued=false,Mandatory=false,DefaultValue=,isDerived=false,isReadOnly=false,isType=,,MultiplicityElement.isOrdered=false,MultiplicityElement.isUnique=true,MultiplicityElement.Lower=1,MultiplicityElement.Upper=1,,,,
Class,dc503b01-c256-e911-8237-06ecaacb4c68,CollateralArrangementInvolvement,,,Party roles involved in the collateral arrangement like Giver and Taker.,Visibility=public,isSpecification=false,isRoot=false,isLeaf=false,,isActive=false,isAbstract=false,,,,,,,,,
Class,564555eb-f2ab-ea11-829f-067a4ad4fc9c,InvestmentPortfolioPerformanceAnalysis,,,The analytical process of determining the performace of an investment portfolio. ,Visibility=public,isSpecification=false,isRoot=false,isLeaf=false,,isActive=false,isAbstract=false,,,,,,,,,
Class,44ecec81-0768-e911-8237-06dd5e24f7bc,InvoiceInvolvement,,,Party who plays the role in the invoice like invoicer and invoicee. ,Visibility=public,isSpecification=false,isRoot=false,isLeaf=false,,isActive=false,isAbstract=false,,,,,,,,,
